patient_id,source,target,ligand,receptor,prob
A26 (386C),Stromal-Intestine_A26,ILC3_A26,LILRB4,LAIR1,0.416924
A26 (386C),Stromal-Intestine_A26,ILC3_A26,TNF,TNFRSF1A,0.52002
A26 (386C),Stromal-Intestine_A26,ILC3_A26,LTB,LTBR,0.456741
A26 (386C),Stromal-Intestine_A26,ILC3_A26,FAM3C,HLA-C,0.704968
A26 (386C),DC_A26,Epi-Intestine_A26,LILRB4,LAIR1,0.508282
A26 (386C),DC_A26,Epi-Intestine_A26,TNFSF13B,HLA-DPB1,0.404751
A26 (386C),DC_A26,Epi-Intestine_A26,RPS19,C5AR1,0.508513
A26 (386C),DC_A26,Epi-Intestine_A26,CSF1,CSF1R,0.256306
A26 (386C),DC_A26,Epi-Intestine_A26,CDH1,ITGB1,0.264099
A26 (386C),Epi-Intestine_A26,T-CD8_A26,DLL1,NOTCH1,0.321054
A26 (386C),Epi-Intestine_A26,T-CD8_A26,FAM3C,HLA-C,0.812965
A26 (386C),Epi-Intestine_A26,T-CD8_A26,HLA-E,KLRC1,0.497345
A26 (386C),Epi-Intestine_A26,T-CD8_A26,CCL3,CCR1,0.603378
A26 (386C),Epi-Intestine_A26,T-CD8_A26,RPS19,C5AR1,0.455829
A26 (386C),Epi-Intestine_A26,T-CD8_A26,IL6,IL6R,0.312992
A26 (386C),Epi-Intestine_A26,T-CD8_A26,EFNA1,EPHA2,0.484853
A26 (386C),Plasma_A26,T-CD8_A26,DLL1,NOTCH1,0.287811
A26 (386C),Plasma_A26,T-CD8_A26,RPS19,C5AR1,0.428346
A26 (386C),Plasma_A26,T-CD8_A26,CDH1,ITGB1,0.497215
A26 (386C),Mono_A26,Epi-Intestine_A26,APP,CD74,0.562977
A26 (386C),Mono_A26,Epi-Intestine_A26,GRN,SORT1,0.537807
A26 (386C),Mono_A26,Epi-Intestine_A26,MIF,CD74,0.55446
A26 (386C),Mono_A26,Epi-Intestine_A26,RPS19,C5AR1,0.490584
A26 (386C),Mono_A26,Epi-Intestine_A26,HLA-E,KLRC1,0.593214
A26 (386C),B-mem_A26,T-CD8_A26,RPS19,C5AR1,0.412083
A26 (386C),B-mem_A26,T-CD8_A26,IGF1,IGF1R,0.136985
A26 (386C),B-mem_A26,T-CD8_A26,LTB,LTBR,0.255323
A26 (386C),B-mem_A26,T-CD8_A26,HLA-E,KLRC1,0.565965
A26 (386C),B-mem_A26,Mac_A26,HLA-E,KLRC1,0.681439
A26 (386C),B-mem_A26,Mac_A26,IL6,IL6R,0.551638
A26 (386C),B-mem_A26,Mac_A26,CDH1,ITGB1,0.340118
A26 (386C),B-mem_A26,Mac_A26,JAG1,NOTCH2,0.217043
A26 (386C),B-mem_A26,Mac_A26,SPP1,CD44,0.837067
A26 (386C),B-mem_A26,Mac_A26,MDK,LRP1,0.346843
A26 (386C),B-mem_A26,Mac_A26,LGALS9,MRC1,0.484874
A26 (386C),DC_A26,T-CD4_A26,MIF,CD74,0.668949
A26 (386C),DC_A26,T-CD4_A26,AREG,EGFR,0.441913
A26 (386C),DC_A26,T-CD4_A26,LTB,LTBR,0.412924
A26 (386C),DC_A26,T-CD4_A26,CCL5,CCR1,0.509537
A26 (386C),DC_A26,T-CD4_A26,DLL1,NOTCH1,0.435104
A26 (386C),DC_A26,T-CD4_A26,HLA-E,KLRC1,0.405039
A26 (386C),DC_A26,T-CD4_A26,IGF1,IGF1R,0.280206
A26 (386C),Plasma_A26,NK_A26,MDK,LRP1,0.76204
A26 (386C),Plasma_A26,NK_A26,CSF1,CSF1R,0.56402
A26 (386C),Plasma_A26,NK_A26,CXCL12,CXCR4,0.567611
A26 (386C),Plasma_A26,NK_A26,PDGFB,PDGFRB,0.377184
A26 (386C),Mac_A26,Plasma_A26,FGF2,FGFR1,0.001
A26 (386C),Mac_A26,Plasma_A26,TNF,TNFRSF1A,0.001
A26 (386C),Mac_A26,Plasma_A26,APP,CD74,0.352752
A26 (386C),Mac_A26,Plasma_A26,CCL3,CCR1,0.572062
A26 (386C),Mac_A26,Plasma_A26,IGF1,IGF1R,0.508172
A26 (386C),Mac_A26,Plasma_A26,CCL5,CCR1,0.427764
A26 (386C),Mac_A26,Plasma_A26,FAM3C,HLA-C,0.38109
A26 (386C),Endo_A26,Mono_A26,IL6,IL6R,0.001
A26 (386C),Endo_A26,Mono_A26,WNT5A,FZD1,0.189057
A26 (386C),Endo_A26,Mono_A26,IGF1,IGF1R,0.290482
A26 (386C),Endo_A26,Mono_A26,JAG1,NOTCH2,0.098372
A26 (386C),Endo_A26,Mono_A26,TNF,TNFRSF1A,0.271196
A26 (386C),Endo_A26,Mono_A26,LTB,LTBR,0.689571
A26 (386C),Endo_A26,Mono_A26,LGALS9,MRC1,0.260317
A26 (386C),Mast_A26,T-gamma/delta_A26,JAG1,NOTCH2,0.165276
A26 (386C),Mast_A26,T-gamma/delta_A26,HGF,MET,0.19595
A26 (386C),Mast_A26,T-gamma/delta_A26,IGF1,IGF1R,0.200726
A26 (386C),Mast_A26,T-gamma/delta_A26,CSF1,CSF1R,0.363124
A26 (386C),Mast_A26,T-gamma/delta_A26,VEGFA,KDR,0.080209
A26 (386C),Mast_A26,T-gamma/delta_A26,EFNA1,EPHA2,0.130216
A26 (386C),ILC3_A26,Mast_A26,GRN,SORT1,0.349188
A26 (386C),ILC3_A26,Mast_A26,DLL1,NOTCH1,0.46404
A26 (386C),ILC3_A26,Mast_A26,CDH1,ITGB1,0.008577
A26 (386C),ILC3_A26,Mast_A26,TNFSF13B,HLA-DPB1,0.35872
A26 (386C),ILC3_A26,Mast_A26,LILRB4,LAIR1,0.274913
A26 (386C),ILC3_A26,Mast_A26,MDK,LRP1,0.561462
A26 (386C),ILC3_A26,Mast_A26,MIF,CD74,0.532219
A26 (386C),Mac_A26,ILC3_A26,CSF1,CSF1R,0.697157
A26 (386C),Mac_A26,ILC3_A26,CCL3,CCR1,0.28337
A26 (386C),Mac_A26,ILC3_A26,AREG,EGFR,0.611464
A26 (386C),Mac_A26,ILC3_A26,LTB,LTBR,0.71661
A26 (386C),Mac_A26,ILC3_A26,APP,CD74,0.315122
A26 (386C),T-gamma/delta_A26,Endo_A26,CDH1,ITGB1,0.230592
A26 (386C),T-gamma/delta_A26,Endo_A26,BMP4,BMPR1A,0.078308
