patient_id,source,target,ligand,receptor,lr.mean
A26 (386C),Stromal-Intestine_A26,ILC3_A26,LILRB4,LAIR1,0.941473
A26 (386C),Stromal-Intestine_A26,ILC3_A26,TNF,TNFRSF1A,0.81916
A26 (386C),Stromal-Intestine_A26,ILC3_A26,LTB,LTBR,0.904812
A26 (386C),Stromal-Intestine_A26,ILC3_A26,FAM3C,HLA-C,0.384203
A26 (386C),DC_A26,Epi-Intestine_A26,LILRB4,LAIR1,0.631946
A26 (386C),DC_A26,Epi-Intestine_A26,TNFSF13B,HLA-DPB1,0.339063
A26 (386C),DC_A26,Epi-Intestine_A26,RPS19,C5AR1,0.951039
A26 (386C),DC_A26,Epi-Intestine_A26,CSF1,CSF1R,1.0
A26 (386C),DC_A26,Epi-Intestine_A26,CDH1,ITGB1,0.750314
A26 (386C),Epi-Intestine_A26,T-CD8_A26,DLL1,NOTCH1,0.167264
A26 (386C),Epi-Intestine_A26,T-CD8_A26,FAM3C,HLA-C,0.690281
A26 (386C),Epi-Intestine_A26,T-CD8_A26,HLA-E,KLRC1,1.0
A26 (386C),Epi-Intestine_A26,T-CD8_A26,CCL3,CCR1,0.642518
A26 (386C),Epi-Intestine_A26,T-CD8_A26,RPS19,C5AR1,1.0
A26 (386C),Epi-Intestine_A26,T-CD8_A26,IL6,IL6R,0.117596
A26 (386C),Epi-Intestine_A26,T-CD8_A26,EFNA1,EPHA2,0.094184
A26 (386C),Plasma_A26,T-CD8_A26,DLL1,NOTCH1,0.289588
A26 (386C),Plasma_A26,T-CD8_A26,RPS19,C5AR1,0.860098
A26 (386C),Plasma_A26,T-CD8_A26,CDH1,ITGB1,0.408963
A26 (386C),Mono_A26,Epi-Intestine_A26,APP,CD74,1.0
A26 (386C),Mono_A26,Epi-Intestine_A26,GRN,SORT1,0.909844
A26 (386C),Mono_A26,Epi-Intestine_A26,MIF,CD74,0.627997
A26 (386C),Mono_A26,Epi-Intestine_A26,RPS19,C5AR1,0.409244
A26 (386C),Mono_A26,Epi-Intestine_A26,HLA-E,KLRC1,0.635616
A26 (386C),B-mem_A26,T-CD8_A26,RPS19,C5AR1,0.525293
A26 (386C),B-mem_A26,T-CD8_A26,IGF1,IGF1R,0.578911
A26 (386C),B-mem_A26,T-CD8_A26,LTB,LTBR,1.0
A26 (386C),B-mem_A26,T-CD8_A26,HLA-E,KLRC1,0.4199
A26 (386C),B-mem_A26,Mac_A26,HLA-E,KLRC1,0.630728
A26 (386C),B-mem_A26,Mac_A26,IL6,IL6R,0.625996
A26 (386C),B-mem_A26,Mac_A26,CDH1,ITGB1,0.445553
A26 (386C),B-mem_A26,Mac_A26,JAG1,NOTCH2,0.229912
A26 (386C),B-mem_A26,Mac_A26,SPP1,CD44,0.52734
A26 (386C),B-mem_A26,Mac_A26,MDK,LRP1,0.710457
A26 (386C),B-mem_A26,Mac_A26,LGALS9,MRC1,1.0
A26 (386C),DC_A26,T-CD4_A26,MIF,CD74,0.977699
A26 (386C),DC_A26,T-CD4_A26,AREG,EGFR,0.633797
A26 (386C),DC_A26,T-CD4_A26,LTB,LTBR,0.872951
A26 (386C),DC_A26,T-CD4_A26,CCL5,CCR1,0.463809
A26 (386C),DC_A26,T-CD4_A26,DLL1,NOTCH1,0.241763
A26 (386C),DC_A26,T-CD4_A26,HLA-E,KLRC1,1.0
A26 (386C),DC_A26,T-CD4_A26,IGF1,IGF1R,0.536441
A26 (386C),Plasma_A26,NK_A26,MDK,LRP1,0.843337
A26 (386C),Plasma_A26,NK_A26,CSF1,CSF1R,0.597215
A26 (386C),Plasma_A26,NK_A26,CXCL12,CXCR4,1.0
A26 (386C),Plasma_A26,NK_A26,PDGFB,PDGFRB,0.444263
A26 (386C),Mac_A26,Plasma_A26,FGF2,FGFR1,0.072479
A26 (386C),Mac_A26,Plasma_A26,TNF,TNFRSF1A,0.700244
A26 (386C),Mac_A26,Plasma_A26,APP,CD74,0.898431
A26 (386C),Mac_A26,Plasma_A26,CCL3,CCR1,1.0
