patient_id,source,target,ligand,receptor,weight_sc
A26 (386C),Stromal-Intestine_A26,ILC3_A26,LILRB4,LAIR1,0.337639
A26 (386C),Stromal-Intestine_A26,ILC3_A26,TNF,TNFRSF1A,0.29796
A26 (386C),Stromal-Intestine_A26,ILC3_A26,LTB,LTBR,0.549975
A26 (386C),Stromal-Intestine_A26,ILC3_A26,FAM3C,HLA-C,0.29378
A26 (386C),DC_A26,Epi-Intestine_A26,LILRB4,LAIR1,0.126718
A26 (386C),DC_A26,Epi-Intestine_A26,TNFSF13B,HLA-DPB1,0.404077
A26 (386C),DC_A26,Epi-Intestine_A26,RPS19,C5AR1,0.619749
A26 (386C),DC_A26,Epi-Intestine_A26,CSF1,CSF1R,0.298989
A26 (386C),DC_A26,Epi-Intestine_A26,CDH1,ITGB1,0.307048
A26 (386C),Epi-Intestine_A26,T-CD8_A26,DLL1,NOTCH1,0.318406
A26 (386C),Epi-Intestine_A26,T-CD8_A26,FAM3C,HLA-C,0.581167
A26 (386C),Epi-Intestine_A26,T-CD8_A26,HLA-E,KLRC1,0.487965
A26 (386C),Epi-Intestine_A26,T-CD8_A26,CCL3,CCR1,0.314714
A26 (386C),Epi-Intestine_A26,T-CD8_A26,RPS19,C5AR1,0.336462
A26 (386C),Epi-Intestine_A26,T-CD8_A26,IL6,IL6R,0.316224
A26 (386C),Epi-Intestine_A26,T-CD8_A26,EFNA1,EPHA2,0.195343
A26 (386C),Plasma_A26,T-CD8_A26,DLL1,NOTCH1,0.060218
A26 (386C),Plasma_A26,T-CD8_A26,RPS19,C5AR1,0.20172
A26 (386C),Plasma_A26,T-CD8_A26,CDH1,ITGB1,0.075931
A26 (386C),Mono_A26,Epi-Intestine_A26,APP,CD74,0.419244
A26 (386C),Mono_A26,Epi-Intestine_A26,GRN,SORT1,0.533488
A26 (386C),Mono_A26,Epi-Intestine_A26,MIF,CD74,0.49453
A26 (386C),Mono_A26,Epi-Intestine_A26,RPS19,C5AR1,0.444354
A26 (386C),Mono_A26,Epi-Intestine_A26,HLA-E,KLRC1,0.438042
A26 (386C),B-mem_A26,T-CD8_A26,RPS19,C5AR1,0.442872
A26 (386C),B-mem_A26,T-CD8_A26,IGF1,IGF1R,0.380783
A26 (386C),B-mem_A26,T-CD8_A26,LTB,LTBR,0.411531
A26 (386C),B-mem_A26,T-CD8_A26,HLA-E,KLRC1,0.312394
A26 (386C),B-mem_A26,Mac_A26,HLA-E,KLRC1,0.52386
A26 (386C),B-mem_A26,Mac_A26,IL6,IL6R,0.001
A26 (386C),B-mem_A26,Mac_A26,CDH1,ITGB1,0.124863
A26 (386C),B-mem_A26,Mac_A26,JAG1,NOTCH2,0.203774
A26 (386C),B-mem_A26,Mac_A26,SPP1,CD44,0.556909
A26 (386C),B-mem_A26,Mac_A26,MDK,LRP1,0.464853
A26 (386C),B-mem_A26,Mac_A26,LGALS9,MRC1,0.29187
A26 (386C),DC_A26,T-CD4_A26,MIF,CD74,0.367114
A26 (386C),DC_A26,T-CD4_A26,AREG,EGFR,0.130112
A26 (386C),DC_A26,T-CD4_A26,LTB,LTBR,0.596024
A26 (386C),DC_A26,T-CD4_A26,CCL5,CCR1,0.374969
A26 (386C),DC_A26,T-CD4_A26,DLL1,NOTCH1,0.290391
A26 (386C),DC_A26,T-CD4_A26,HLA-E,KLRC1,0.458085
A26 (386C),DC_A26,T-CD4_A26,IGF1,IGF1R,0.256864
A26 (386C),Plasma_A26,NK_A26,MDK,LRP1,0.25306
A26 (386C),Plasma_A26,NK_A26,CSF1,CSF1R,0.403355
A26 (386C),Plasma_A26,NK_A26,CXCL12,CXCR4,0.290765
A26 (386C),Plasma_A26,NK_A26,PDGFB,PDGFRB,0.096748
A26 (386C),Mac_A26,Plasma_A26,FGF2,FGFR1,0.36704
A26 (386C),Mac_A26,Plasma_A26,TNF,TNFRSF1A,0.402266
A26 (386C),Mac_A26,Plasma_A26,APP,CD74,0.453574
A26 (386C),Mac_A26,Plasma_A26,CCL3,CCR1,0.646399
A26 (386C),Mac_A26,Plasma_A26,IGF1,IGF1R,0.032247
A26 (386C),Mac_A26,Plasma_A26,CCL5,CCR1,0.330313
A26 (386C),Mac_A26,Plasma_A26,FAM3C,HLA-C,0.441286
A26 (386C),Endo_A26,Mono_A26,IL6,IL6R,0.230869
A26 (386C),Endo_A26,Mono_A26,WNT5A,FZD1,0.293418
A26 (386C),Endo_A26,Mono_A26,IGF1,IGF1R,0.214415
A26 (386C),Endo_A26,Mono_A26,JAG1,NOTCH2,0.273378
A26 (386C),Endo_A26,Mono_A26,TNF,TNFRSF1A,0.211247
A26 (386C),Endo_A26,Mono_A26,LTB,LTBR,0.351724
A26 (386C),Endo_A26,Mono_A26,LGALS9,MRC1,0.2135
A26 (386C),Mast_A26,T-gamma/delta_A26,JAG1,NOTCH2,0.212965
A26 (386C),Mast_A26,T-gamma/delta_A26,HGF,MET,0.297005
A26 (386C),Mast_A26,T-gamma/delta_A26,IGF1,IGF1R,0.231691
A26 (386C),Mast_A26,T-gamma/delta_A26,CSF1,CSF1R,0.319483
A26 (386C),Mast_A26,T-gamma/delta_A26,VEGFA,KDR,0.33703
A26 (386C),Mast_A26,T-gamma/delta_A26,EFNA1,EPHA2,0.389853
A26 (386C),ILC3_A26,Mast_A26,GRN,SORT1,0.447375
A26 (386C),ILC3_A26,Mast_A26,DLL1,NOTCH1,0.343963
A26 (386C),ILC3_A26,Mast_A26,CDH1,ITGB1,0.248746
A26 (386C),ILC3_A26,Mast_A26,TNFSF13B,HLA-DPB1,0.337914
A26 (386C),ILC3_A26,Mast_A26,LILRB4,LAIR1,0.669952
A26 (386C),ILC3_A26,Mast_A26,MDK,LRP1,0.478736
A26 (386C),ILC3_A26,Mast_A26,MIF,CD74,0.609448
A26 (386C),Mac_A26,ILC3_A26,CSF1,CSF1R,0.487503
A26 (386C),Mac_A26,ILC3_A26,CCL3,CCR1,0.398331
A26 (386C),Mac_A26,ILC3_A26,AREG,EGFR,0.358187
A26 (386C),Mac_A26,ILC3_A26,LTB,LTBR,0.514868
A26 (386C),Mac_A26,ILC3_A26,APP,CD74,0.323048
A26 (386C),T-gamma/delta_A26,Endo_A26,CDH1,ITGB1,0.298973
A26 (386C),T-gamma/delta_A26,Endo_A26,BMP4,BMPR1A,0.137612
A26 (386C),T-gamma/delta_A26,Endo_A26,WNT5A,FZD1,0.18006
A26 (386C),T-gamma/delta_A26,Endo_A26,HGF,MET,0.216653
A26 (386C),T-gamma/delta_A26,Endo_A26,TNFSF13B,HLA-DPB1,0.368795
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,AREG,EGFR,0.283809
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,VEGFA,KDR,0.130828
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,BMP4,BMPR1A,0.183457
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,EFNA1,EPHA2,0.177469
A26 (386C),Epi-Intestine_A26,ILC3_A26,TNFSF13B,HLA-DPB1,0.484462
A26 (386C),Epi-Intestine_A26,ILC3_A26,COPA,CD74,0.405622
A26 (386C),Epi-Intestine_A26,ILC3_A26,HLA-E,KLRC1,0.5411
A26 (386C),Epi-Intestine_A26,ILC3_A26,SPP1,CD44,0.450214
A26 (386C),Epi-Intestine_A26,T-CD4_A26,GRN,SORT1,0.332999
A26 (386C),Epi-Intestine_A26,T-CD4_A26,EFNA1,EPHA2,0.25276
A26 (386C),Epi-Intestine_A26,T-CD4_A26,EGF,EGFR,0.056646
A26 (386C),Epi-Intestine_A26,T-CD4_A26,IGF1,IGF1R,0.034583
A26 (386C),Epi-Intestine_A26,T-CD4_A26,WNT5A,FZD1,0.325463
A26 (386C),Epi-Intestine_A26,T-CD4_A26,CDH1,ITGB1,0.27513
A26 (386C),Epi-Intestine_A26,T-CD4_A26,C3,C3AR1,0.520155
A26 (386C),Mac_A26,T-gamma/delta_A26,CDH1,ITGB1,0.209879
A26 (386C),Mac_A26,T-gamma/delta_A26,DLL1,NOTCH1,0.389246
A26 (386C),Mac_A26,T-gamma/delta_A26,IGF1,IGF1R,0.055039
A26 (386C),Mac_A26,T-gamma/delta_A26,FAM3C,HLA-C,0.483236
A26 (386C),Mac_A26,T-gamma/delta_A26,AREG,EGFR,0.355706
A26 (386C),Mac_A26,T-gamma/delta_A26,APP,CD74,0.348179
A26 (386C),Mac_A26,T-gamma/delta_A26,JAG1,NOTCH2,0.127724
A26 (386C),B-naive_A26,Mast_A26,DLL1,NOTCH1,0.038106
A26 (386C),B-naive_A26,Mast_A26,IGF1,IGF1R,0.292654
A26 (386C),B-naive_A26,Mast_A26,HLA-E,KLRC1,0.331761
A26 (386C),B-naive_A26,Mast_A26,LILRB4,LAIR1,0.356608
A26 (386C),B-naive_A26,Mast_A26,TNFSF13B,HLA-DPB1,0.516088
A26 (386C),B-mem_A26,B-naive_A26,PDGFB,PDGFRB,0.001
A26 (386C),B-mem_A26,B-naive_A26,TNF,TNFRSF1A,0.067659
A26 (386C),B-mem_A26,B-naive_A26,JAG1,NOTCH2,0.13123
A26 (386C),B-mem_A26,B-naive_A26,TNFSF13B,HLA-DPB1,0.434611
A26 (386C),B-mem_A26,B-naive_A26,MIF,CD74,0.527939
A26 (386C),ILC3_A26,B-naive_A26,LTB,LTBR,0.466395
A26 (386C),ILC3_A26,B-naive_A26,EFNA1,EPHA2,0.350058
A26 (386C),ILC3_A26,B-naive_A26,WNT5A,FZD1,0.224376
A26 (386C),ILC3_A26,B-naive_A26,MIF,CD74,0.588859
