patient_id,source,target,ligand,receptor,logfc_comb
A26 (386C),Stromal-Intestine_A26,ILC3_A26,LILRB4,LAIR1,1.5605
A26 (386C),Stromal-Intestine_A26,ILC3_A26,TNF,TNFRSF1A,0.8583
A26 (386C),Stromal-Intestine_A26,ILC3_A26,LTB,LTBR,1.5491
A26 (386C),Stromal-Intestine_A26,ILC3_A26,FAM3C,HLA-C,1.6007
A26 (386C),DC_A26,Epi-Intestine_A26,LILRB4,LAIR1,2.1298
A26 (386C),DC_A26,Epi-Intestine_A26,TNFSF13B,HLA-DPB1,1.0153
A26 (386C),DC_A26,Epi-Intestine_A26,RPS19,C5AR1,1.0129
A26 (386C),DC_A26,Epi-Intestine_A26,CSF1,CSF1R,1.3802
A26 (386C),DC_A26,Epi-Intestine_A26,CDH1,ITGB1,0.4581
A26 (386C),Epi-Intestine_A26,T-CD8_A26,DLL1,NOTCH1,0.8524
A26 (386C),Epi-Intestine_A26,T-CD8_A26,FAM3C,HLA-C,1.346
A26 (386C),Epi-Intestine_A26,T-CD8_A26,HLA-E,KLRC1,1.5756
A26 (386C),Epi-Intestine_A26,T-CD8_A26,CCL3,CCR1,1.2991
A26 (386C),Epi-Intestine_A26,T-CD8_A26,RPS19,C5AR1,1.1543
A26 (386C),Epi-Intestine_A26,T-CD8_A26,IL6,IL6R,0.7013
A26 (386C),Epi-Intestine_A26,T-CD8_A26,EFNA1,EPHA2,0.8293
A26 (386C),Plasma_A26,T-CD8_A26,DLL1,NOTCH1,0.7782
A26 (386C),Plasma_A26,T-CD8_A26,RPS19,C5AR1,1.1418
A26 (386C),Plasma_A26,T-CD8_A26,CDH1,ITGB1,0.8831
A26 (386C),Mono_A26,Epi-Intestine_A26,APP,CD74,1.1816
A26 (386C),Mono_A26,Epi-Intestine_A26,GRN,SORT1,1.0949
A26 (386C),Mono_A26,Epi-Intestine_A26,MIF,CD74,1.543
A26 (386C),Mono_A26,Epi-Intestine_A26,RPS19,C5AR1,1.2819
A26 (386C),Mono_A26,Epi-Intestine_A26,HLA-E,KLRC1,1.706
A26 (386C),B-mem_A26,T-CD8_A26,RPS19,C5AR1,1.3164
A26 (386C),B-mem_A26,T-CD8_A26,IGF1,IGF1R,0.0514
A26 (386C),B-mem_A26,T-CD8_A26,LTB,LTBR,0.9801
A26 (386C),B-mem_A26,T-CD8_A26,HLA-E,KLRC1,1.3217
