patient_id,source,target,ligand,receptor,prod_weight
A26 (386C),Stromal-Intestine_A26,ILC3_A26,LILRB4,LAIR1,0.431808
A26 (386C),Stromal-Intestine_A26,ILC3_A26,TNF,TNFRSF1A,0.031205
A26 (386C),Stromal-Intestine_A26,ILC3_A26,LTB,LTBR,0.366934
A26 (386C),Stromal-Intestine_A26,ILC3_A26,FAM3C,HLA-C,0.355044
A26 (386C),DC_A26,Epi-Intestine_A26,LILRB4,LAIR1,0.243665
A26 (386C),DC_A26,Epi-Intestine_A26,TNFSF13B,HLA-DPB1,0.410298
A26 (386C),DC_A26,Epi-Intestine_A26,RPS19,C5AR1,0.267296
A26 (386C),DC_A26,Epi-Intestine_A26,CSF1,CSF1R,0.32772
A26 (386C),DC_A26,Epi-Intestine_A26,CDH1,ITGB1,0.241399
A26 (386C),Epi-Intestine_A26,T-CD8_A26,DLL1,NOTCH1,0.297694
A26 (386C),Epi-Intestine_A26,T-CD8_A26,FAM3C,HLA-C,0.273373
A26 (386C),Epi-Intestine_A26,T-CD8_A26,HLA-E,KLRC1,0.087413
A26 (386C),Epi-Intestine_A26,T-CD8_A26,CCL3,CCR1,0.497488
A26 (386C),Epi-Intestine_A26,T-CD8_A26,RPS19,C5AR1,0.334778
A26 (386C),Epi-Intestine_A26,T-CD8_A26,IL6,IL6R,0.403343
A26 (386C),Epi-Intestine_A26,T-CD8_A26,EFNA1,EPHA2,0.349572
A26 (386C),Plasma_A26,T-CD8_A26,DLL1,NOTCH1,0.15583
A26 (386C),Plasma_A26,T-CD8_A26,RPS19,C5AR1,0.351115
A26 (386C),Plasma_A26,T-CD8_A26,CDH1,ITGB1,0.226699
A26 (386C),Mono_A26,Epi-Intestine_A26,APP,CD74,0.336197
A26 (386C),Mono_A26,Epi-Intestine_A26,GRN,SORT1,0.152343
A26 (386C),Mono_A26,Epi-Intestine_A26,MIF,CD74,0.225501
A26 (386C),Mono_A26,Epi-Intestine_A26,RPS19,C5AR1,0.250472
A26 (386C),Mono_A26,Epi-Intestine_A26,HLA-E,KLRC1,0.253733
A26 (386C),B-mem_A26,T-CD8_A26,RPS19,C5AR1,0.326645
A26 (386C),B-mem_A26,T-CD8_A26,IGF1,IGF1R,0.178357
A26 (386C),B-mem_A26,T-CD8_A26,LTB,LTBR,0.271672
A26 (386C),B-mem_A26,T-CD8_A26,HLA-E,KLRC1,0.331997
A26 (386C),B-mem_A26,Mac_A26,HLA-E,KLRC1,0.347403
A26 (386C),B-mem_A26,Mac_A26,IL6,IL6R,0.055879
A26 (386C),B-mem_A26,Mac_A26,CDH1,ITGB1,0.143515
A26 (386C),B-mem_A26,Mac_A26,JAG1,NOTCH2,0.107519
A26 (386C),B-mem_A26,Mac_A26,SPP1,CD44,0.282649
A26 (386C),B-mem_A26,Mac_A26,MDK,LRP1,0.392962
A26 (386C),B-mem_A26,Mac_A26,LGALS9,MRC1,0.505483
A26 (386C),DC_A26,T-CD4_A26,MIF,CD74,0.311363
A26 (386C),DC_A26,T-CD4_A26,AREG,EGFR,0.349989
A26 (386C),DC_A26,T-CD4_A26,LTB,LTBR,0.274237
A26 (386C),DC_A26,T-CD4_A26,CCL5,CCR1,0.509468
A26 (386C),DC_A26,T-CD4_A26,DLL1,NOTCH1,0.206196
A26 (386C),DC_A26,T-CD4_A26,HLA-E,KLRC1,0.380286
A26 (386C),DC_A26,T-CD4_A26,IGF1,IGF1R,0.059168
A26 (386C),Plasma_A26,NK_A26,MDK,LRP1,0.389397
A26 (386C),Plasma_A26,NK_A26,CSF1,CSF1R,0.462349
A26 (386C),Plasma_A26,NK_A26,CXCL12,CXCR4,0.3452
A26 (386C),Plasma_A26,NK_A26,PDGFB,PDGFRB,0.254161
A26 (386C),Mac_A26,Plasma_A26,FGF2,FGFR1,0.075607
A26 (386C),Mac_A26,Plasma_A26,TNF,TNFRSF1A,0.186079
A26 (386C),Mac_A26,Plasma_A26,APP,CD74,0.477068
A26 (386C),Mac_A26,Plasma_A26,CCL3,CCR1,0.219451
