X,patient_id,source,target,ligand,receptor,cellchat_prob,cellphonedb_lr.mean,connectome_weight_sc,logfc_logfc_comb,natmi_prod_weight,sca_LRscore
1,A26 (386C),Stromal-Intestine_A26,ILC3_A26,LILRB4,LAIR1,0.416924,0.941473,0.337639,1.5605,0.431808,0.709812
2,A26 (386C),Stromal-Intestine_A26,ILC3_A26,TNF,TNFRSF1A,0.52002,0.81916,0.29796,0.8583,0.031205,0.048947
3,A26 (386C),Stromal-Intestine_A26,ILC3_A26,LTB,LTBR,0.456741,0.904812,0.549975,1.5491,0.366934,0.075428
4,A26 (386C),Stromal-Intestine_A26,ILC3_A26,FAM3C,HLA-C,0.704968,0.384203,0.29378,1.6007,0.355044,0.547088
5,A26 (386C),DC_A26,Epi-Intestine_A26,LILRB4,LAIR1,0.508282,0.631946,0.126718,2.1298,0.243665,0.453367
6,A26 (386C),DC_A26,Epi-Intestine_A26,TNFSF13B,HLA-DPB1,0.404751,0.339063,0.404077,1.0153,0.410298,0.684882
7,A26 (386C),DC_A26,Epi-Intestine_A26,RPS19,C5AR1,0.508513,0.951039,0.619749,1.0129,0.267296,0.918179
8,A26 (386C),DC_A26,Epi-Intestine_A26,CSF1,CSF1R,0.256306,1.0,0.298989,1.3802,0.32772,0.906706
9,A26 (386C),DC_A26,Epi-Intestine_A26,CDH1,ITGB1,0.264099,0.750314,0.307048,0.4581,0.241399,1.0
10,A26 (386C),Epi-Intestine_A26,T-CD8_A26,DLL1,NOTCH1,0.321054,0.167264,0.318406,0.8524,0.297694,0.344019
11,A26 (386C),Epi-Intestine_A26,T-CD8_A26,FAM3C,HLA-C,0.812965,0.690281,0.581167,1.346,0.273373,0.42431
12,A26 (386C),Epi-Intestine_A26,T-CD8_A26,HLA-E,KLRC1,0.497345,1.0,0.487965,1.5756,0.087413,0.792193
13,A26 (386C),Epi-Intestine_A26,T-CD8_A26,CCL3,CCR1,0.603378,0.642518,0.314714,1.2991,0.497488,0.43898
14,A26 (386C),Epi-Intestine_A26,T-CD8_A26,RPS19,C5AR1,0.455829,1.0,0.336462,1.1543,0.334778,0.401742
15,A26 (386C),Epi-Intestine_A26,T-CD8_A26,IL6,IL6R,0.312992,0.117596,0.316224,0.7013,0.403343,0.406168
16,A26 (386C),Epi-Intestine_A26,T-CD8_A26,EFNA1,EPHA2,0.484853,0.094184,0.195343,0.8293,0.349572,0.013817
17,A26 (386C),Plasma_A26,T-CD8_A26,DLL1,NOTCH1,0.287811,0.289588,0.060218,0.7782,0.15583,0.754053
18,A26 (386C),Plasma_A26,T-CD8_A26,RPS19,C5AR1,0.428346,0.860098,0.20172,1.1418,0.351115,0.814792
19,A26 (386C),Plasma_A26,T-CD8_A26,CDH1,ITGB1,0.497215,0.408963,0.075931,0.8831,0.226699,0.448332
20,A26 (386C),Mono_A26,Epi-Intestine_A26,APP,CD74,0.562977,1.0,0.419244,1.1816,0.336197,0.946554
21,A26 (386C),Mono_A26,Epi-Intestine_A26,GRN,SORT1,0.537807,0.909844,0.533488,1.0949,0.152343,0.709885
22,A26 (386C),Mono_A26,Epi-Intestine_A26,MIF,CD74,0.55446,0.627997,0.49453,1.543,0.225501,0.753644
23,A26 (386C),Mono_A26,Epi-Intestine_A26,RPS19,C5AR1,0.490584,0.409244,0.444354,1.2819,0.250472,0.754589
24,A26 (386C),Mono_A26,Epi-Intestine_A26,HLA-E,KLRC1,0.593214,0.635616,0.438042,1.706,0.253733,0.726178
25,A26 (386C),B-mem_A26,T-CD8_A26,RPS19,C5AR1,0.412083,0.525293,0.442872,1.3164,0.326645,0.503153
26,A26 (386C),B-mem_A26,T-CD8_A26,IGF1,IGF1R,0.136985,0.578911,0.380783,0.0514,0.178357,0.361293
27,A26 (386C),B-mem_A26,T-CD8_A26,LTB,LTBR,0.255323,1.0,0.411531,0.9801,0.271672,0.344188
